period,stateId,stateDescription,producertypeid,producerTypeDescription,energysourceid,energySourceDescription,capability,capability-units
2019,VA,Virginia,IPP,Independent Power Producers,HYC,Hydroelectric,33.9,megawatts
2019,VA,Virginia,IPP,Independent Power Producers,NG,Natural Gas,3651.4,megawatts
2019,VA,Virginia,IPP,Independent Power Producers,NGCC,Natural Gas - CC,2648.7,megawatts
2019,VA,Virginia,IPP,Independent Power Producers,NGGT,Natural Gas - GT,883,megawatts
2019,VA,Virginia,IPP,Independent Power Producers,NGIC,Natural Gas - IC,1.3,megawatts
2019,VA,Virginia,IPP,Independent Power Producers,NGST,Natural Gas - ST,118.4,megawatts
2019,VA,Virginia,IPP,Independent Power Producers,OBM,Other Biomass,308.3,megawatts
2019,VA,Virginia,IPP,Independent Power Producers,OT,Other,96,megawatts
2019,VA,Virginia,IPP,Independent Power Producers,PET,Petroleum,389.2,megawatts
2019,VA,Virginia,IPP,Independent Power Producers,PETGT,Petroleum - GT,350.8,megawatts
2019,VA,Virginia,IPP,Independent Power Producers,PETIC,Petroleum - IC,38.4,megawatts
2019,VA,Virginia,IPP,Independent Power Producers,SOL,Solar,332.6,megawatts
2019,VA,Virginia,IPP,Independent Power Producers,SOLPV,Solar - PV,332.6,megawatts
2019,VA,Virginia,IPP,Independent Power Producers,WOO,Wood,342.6,megawatts
2019,VA,Virginia,TOT,All sectors,ALL,All,28044.7,megawatts
2019,VA,Virginia,TOT,All sectors,COL,Coal,2878.9,megawatts
2019,VA,Virginia,TOT,All sectors,HPS,Pumped Storage,3241,megawatts
2019,VA,Virginia,TOT,All sectors,HYC,Hydroelectric,866,megawatts
2019,VA,Virginia,TOT,All sectors,NG,Natural Gas,13693,megawatts
2019,VA,Virginia,TOT,All sectors,NGCC,Natural Gas - CC,8868,megawatts
2019,VA,Virginia,TOT,All sectors,NGGT,Natural Gas - GT,4245.3,megawatts
2019,VA,Virginia,TOT,All sectors,NGIC,Natural Gas - IC,1.3,megawatts
2019,VA,Virginia,TOT,All sectors,NGST,Natural Gas - ST,578.4,megawatts
2019,VA,Virginia,TOT,All sectors,NUC,Nuclear,3568,megawatts
2019,VA,Virginia,TOT,All sectors,OBM,Other Biomass,309.3,megawatts
2019,VA,Virginia,TOT,All sectors,OT,Other,96,megawatts
2019,VA,Virginia,TOT,All sectors,PET,Petroleum,2340.8,megawatts
2019,VA,Virginia,TOT,All sectors,PETGT,Petroleum - GT,623.8,megawatts
2019,VA,Virginia,TOT,All sectors,PETIC,Petroleum - IC,141,megawatts
2019,VA,Virginia,TOT,All sectors,PETST,Petroleum - ST,1576,megawatts
2019,VA,Virginia,TOT,All sectors,SOL,Solar,556.1,megawatts
2019,VA,Virginia,TOT,All sectors,SOLPV,Solar - PV,556.1,megawatts
2019,VA,Virginia,TOT,All sectors,WOO,Wood,495.6,megawatts
2018,VA,Virginia,EU,Electric Utilities,ALL,All,23975.4,megawatts
2018,VA,Virginia,EU,Electric Utilities,COL,Coal,3214,megawatts
2018,VA,Virginia,EU,Electric Utilities,HPS,Pumped Storage,3241,megawatts
2018,VA,Virginia,EU,Electric Utilities,HYC,Hydroelectric,844.6,megawatts
2018,VA,Virginia,EU,Electric Utilities,NG,Natural Gas,10856.6,megawatts
2018,VA,Virginia,EU,Electric Utilities,NGCC,Natural Gas - CC,6491.3,megawatts
2018,VA,Virginia,EU,Electric Utilities,NGGT,Natural Gas - GT,3362.3,megawatts
2018,VA,Virginia,EU,Electric Utilities,NGST,Natural Gas - ST,1003,megawatts
2018,VA,Virginia,EU,Electric Utilities,NUC,Nuclear,3568,megawatts
2018,VA,Virginia,EU,Electric Utilities,OBM,Other Biomass,1,megawatts
2018,VA,Virginia,EU,Electric Utilities,PET,Petroleum,1953,megawatts
2018,VA,Virginia,EU,Electric Utilities,PETGT,Petroleum - GT,273,megawatts
2018,VA,Virginia,EU,Electric Utilities,PETIC,Petroleum - IC,104,megawatts
2018,VA,Virginia,EU,Electric Utilities,PETST,Petroleum - ST,1576,megawatts
2018,VA,Virginia,EU,Electric Utilities,SOL,Solar,61.2,megawatts
2018,VA,Virginia,EU,Electric Utilities,SOLPV,Solar - PV,61.2,megawatts
